"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"326","Córdoba",909,4,4,83,1108,"Vias urbanas",2016
"327","Coruña (A)",906,13,13,95,1063,"Vias urbanas",2016
"328","Cuenca",78,2,2,11,90,"Vias urbanas",2016
"329","Girona",1411,15,15,108,1638,"Vias urbanas",2016
"330","Granada",1073,3,3,86,1308,"Vias urbanas",2016
"331","Guadalajara",69,2,2,7,95,"Vias urbanas",2016
"332","Gipuzkoa",992,4,4,69,1083,"Vias urbanas",2016
"333","Huelva",206,4,4,41,247,"Vias urbanas",2016
"334","Huesca",178,5,6,27,187,"Vias urbanas",2016
"335","Jaén",520,9,10,37,683,"Vias urbanas",2016
"336","León",410,12,13,85,424,"Vias urbanas",2016
"337","Lleida",449,4,4,59,515,"Vias urbanas",2016
"338","Rioja (La)",449,4,4,35,517,"Vias urbanas",2016
"339","Lugo",256,3,3,26,335,"Vias urbanas",2016
"340","Madrid",13004,58,60,1052,15037,"Vias urbanas",2016
"341","Málaga",1353,21,21,110,1676,"Vias urbanas",2016
"342","Murcia",1929,18,19,140,2456,"Vias urbanas",2016
"343","Navarra",480,7,7,67,508,"Vias urbanas",2016
"344","Ourense",190,3,3,27,218,"Vias urbanas",2016
"345","Asturias",1327,9,9,101,1677,"Vias urbanas",2016
"346","Palencia",107,2,2,14,108,"Vias urbanas",2016
"347","Palmas (Las)",633,12,13,39,827,"Vias urbanas",2016
"348","Pontevedra",563,6,6,80,653,"Vias urbanas",2016
"349","Salamanca",389,3,3,35,452,"Vias urbanas",2016
"350","Santa Cruz de Tenerife",1132,13,13,94,1392,"Vias urbanas",2016
"351","Cantabria",164,8,11,9,206,"Vias urbanas",2016
"352","Segovia",105,1,1,9,119,"Vias urbanas",2016
"353","Sevilla",3863,27,27,165,5266,"Vias urbanas",2016
"354","Soria",41,1,1,10,39,"Vias urbanas",2016
"355","Tarragona",933,7,7,108,1047,"Vias urbanas",2016
"356","Teruel",36,0,0,9,39,"Vias urbanas",2016
"357","Toledo",266,6,6,27,340,"Vias urbanas",2016
"358","Valencia/València",2643,17,17,198,3021,"Vias urbanas",2016
"359","Valladolid",580,10,10,46,681,"Vias urbanas",2016
"360","Bizkaia",954,9,9,64,1213,"Vias urbanas",2016
"361","Zamora",12,3,3,2,10,"Vias urbanas",2016
"362","Zaragoza",921,6,6,123,1055,"Vias urbanas",2016
"363","Ceuta",256,2,2,11,359,"Vias urbanas",2016
"364","Melilla",562,1,1,14,794,"Vias urbanas",2016
"365","Araba/Álava",293,8,10,42,394,"Vias interurbanas",2016
"366","Albacete",171,21,21,50,222,"Vias interurbanas",2016
"367","Alicante/Alacant",1266,41,46,119,1813,"Vias interurbanas",2016
"368","Almería",532,27,30,84,821,"Vias interurbanas",2016
"369","Ávila",256,10,12,45,342,"Vias interurbanas",2016
"370","Badajoz",348,28,29,84,461,"Vias interurbanas",2016
"371","Balears (Illes)",1383,41,50,205,2039,"Vias interurbanas",2016
"372","Barcelona",5485,52,57,451,7792,"Vias interurbanas",2016
"373","Burgos",333,21,28,106,434,"Vias interurbanas",2016
"374","Cáceres",271,16,19,41,361,"Vias interurbanas",2016
"375","Cádiz",604,22,23,79,993,"Vias interurbanas",2016
"376","Castellón/Castelló",446,32,33,94,598,"Vias interurbanas",2016
"377","Ciudad Real",301,23,27,53,438,"Vias interurbanas",2016
"378","Córdoba",450,17,18,68,680,"Vias interurbanas",2016
"379","Coruña (A)",1072,45,45,209,1369,"Vias interurbanas",2016
